DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2018,12,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2018,12.4,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2018,12.2,,PCNT: %,,,,,,,,DHS 2017-18,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2020,88.482033,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2020,82.081398,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2020,85.201317,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2020,61.73978,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2020,40.360901,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2020,50.61705,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2020,78.171562,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2020,60.489948,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2020,68.905968,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2020,59.164452,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2020,34.630589,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2020,46.431679,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2020,4.2468548,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2020,4.0125489,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2020,4.1267591,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2020,17.50255,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2020,27.437799,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2020,22.671539,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2016,30.799999,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2016,32.200001,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2016,31.4,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2016,28.1,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2016,32.099998,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2016,30,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2016,31.708269,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2016,42.056301,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2016,36.50642,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2016,15.21019,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2016,23.698139,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2016,18.7439,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2016,16.864519,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2016,13.52667,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2016,15.28392,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2016,35.406719,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2016,21.0751,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2016,28.510441,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2020,92.289497,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2020,86.628639,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2020,89.400009,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2020,70.54908,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2020,62.77586,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2020,66.585091,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2020,84.934196,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2020,74.320808,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2020,79.316093,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2020,65.963852,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2020,54.310711,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2020,60.195518,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2020,1.06985,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2020,1.205076,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2020,1.1388741,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2020,5.89115,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2020,7.7867188,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2020,6.8578038,,PCNT: %,,,,,,,,MICS 2019-20,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2016,93.209381,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2016,94.994583,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2016,94.179199,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2016,89.055801,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2016,81.369759,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2016,85.180359,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2016,99.152008,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2016,94.619598,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2016,97.058952,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2016,79.394547,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2016,68.794182,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2016,74.582832,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2016,0.89999998,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2016,0.69999999,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2016,0.80000001,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2016,4.4000001,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2016,8.6999998,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,2016,6.5999999,,PCNT: %,,,,,,,,DHS 2015-16,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,2019,64.599998,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,2019,51.200001,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,2019,57.799999,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,2019,53.400002,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,2019,43.099998,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,2019,48.099998,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,2019,70.5,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,2019,59.200001,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,2019,64.699997,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,2019,27.299999,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,2019,31.5,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,2019,29.4,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,2019,8,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,2019,17.9,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,2019,13,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,2019,26.1,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,2019,36.5,,PCNT: %,,,,,,,,MICS 2019,,,,,,_T: Total
